,Treco,entries,gcFit,gcParam,import,plots
0,-0.6352078914642334,2,-12.559893131256104,-0.02695441246032715,-0.005095005035400391,-0.49805164337158203
1,-0.20366597175598145,4,-24.025017023086548,-0.02437567710876465,-0.012230396270751953,-0.6219463348388672
2,-0.8839733600616455,6,-34.647271394729614,-0.0597844123840332,-0.018253326416015625,-0.7193624973297119
3,-0.530174732208252,8,-47.168740034103394,-0.03373122215270996,-0.019309520721435547,-1.0030553340911865
4,-0.46665358543395996,10,-57.583226442337036,-0.0693049430847168,-0.02507305145263672,-1.202761173248291
5,-0.556236982345581,12,-66.8677008152008,-0.0541989803314209,-0.03119182586669922,-1.7775373458862305
6,-0.6455926895141602,14,-77.78790664672852,-0.05950784683227539,-0.0364079475402832,-1.650761604309082
7,-0.7442598342895508,16,-90.34981513023376,-0.09296345710754395,-0.0395662784576416,-2.0858278274536133
8,-0.8591947555541992,18,-102.74208927154541,-0.078369140625,-0.050989389419555664,-2.181532144546509
9,-0.9901354312896729,20,-112.3672616481781,-0.08312559127807617,-0.05455517768859863,-2.4849472045898438
