,non_optimized,numba,ctype
0,0.17054678899999987,1.8154826229999999,0.0015599059999999998
1,0.14681469199999997,0.003600115000000237,0.0015801739999998787
2,0.15261042599999985,0.0030719600000002067,0.0015088369999998186
3,0.17159461500000006,0.0025052539999999013,0.001338717999999961
4,0.13315853199999994,0.002894636999999811,0.0015501099999997159
5,0.13125691100000036,0.002506832999999986,0.0013688040000001678
6,0.13068645400000012,0.003487238000000392,0.0015385320000000924
7,0.13213938900000066,0.0028253039999999174,0.0015068459999998396
8,0.12827695700000064,0.0025206240000006375,0.0013306069999998726
9,0.1239548319999999,0.003269713999999979,0.0018090320000005988
10,0.12941810000000054,0.003033794000000256,0.001508328999999975
11,0.1348898940000005,0.002533388999999886,0.001331991999999893
12,0.12794854500000064,0.0029456009999995203,0.001511232000000362
13,0.1371490049999995,0.0026146320000002277,0.0014638959999997425
14,0.1782494589999999,0.004991466000000777,0.002093669000000631
15,0.12904719399999998,0.0029454370000001617,0.0015474989999999522
16,0.12022352400000003,0.002828649999999655,0.001384767000000231
17,0.12285141699999969,0.002611101000000282,0.0013234879999997062
18,0.12784217400000042,0.0029665589999998687,0.0015243890000000704
19,0.12520333500000014,0.002673479000000256,0.0013309829999998968
20,0.12476300899999959,0.0030428760000003052,0.0019081210000004845
21,0.1276537830000004,0.0029714350000000778,0.0015213599999999161
22,0.12267753799999959,0.0029382990000001996,0.0015156379999998748
23,0.1264481050000006,0.0024226650000001015,0.001740042999999858
24,0.1319082800000002,0.002451080000000161,0.001348043000000132
25,0.12091770400000001,0.0025420499999997404,0.001340686999999896
26,0.12272925799999967,0.002501516000000592,0.0013277980000001577
27,0.12884924600000058,0.0024766949999994736,0.0013656019999999103
28,0.11901092599999963,0.0025747559999995673,0.0014445560000000413
29,0.12567843099999987,0.0024879499999999055,0.0013788070000000374
30,0.1340034939999999,0.002498652999999962,0.0013922639999996989
31,0.12643227199999973,0.0025084989999992757,0.001345008999999564
32,0.12471944999999973,0.0026095860000001636,0.0013369819999997645
33,0.13891775599999967,0.0029580410000003,0.0015796400000001043
34,0.12120571700000049,0.002627785000000493,0.001334257999999977
35,0.12007400300000004,0.0026825239999999084,0.0013382819999998574
36,0.12683392699999985,0.0026033920000001487,0.001373806000000144
37,0.12188367200000005,0.002950496999999608,0.0015345470000003303
38,0.13166509600000076,0.002976917999999884,0.0014984699999995854
39,0.13532944299999983,0.0030084629999986845,0.0015031909999994042
40,0.13675030999999827,0.0026139539999991968,0.0014291960000001325
41,0.13067151799999976,0.002696539000000442,0.0013343290000005226
42,0.12524570699999948,0.002773103000000887,0.0013606700000003968
43,0.11988765399999934,0.0026177559999993605,0.001339678000000788
44,0.13395303100000078,0.002987107999999239,0.0014210370000000694
45,0.12960491199999957,0.0027191030000004446,0.001907616000000445
46,0.12211295899999897,0.002738203999999911,0.0013327160000002891
47,0.12658762599999918,0.0027928139999993107,0.001546083999999226
48,0.12615332500000065,0.0028029190000005144,0.00150876999999916
49,0.12435534599999976,0.002478793999999951,0.001337475999999782
50,0.1262849940000006,0.0025644669999991265,0.0013328399999998908
51,0.13201312099999996,0.002469120999998964,0.001342901999999313
52,0.13786082200000038,0.0024893179999985193,0.0013479860000007449
53,0.1402847009999988,0.0029824960000013334,0.0015158629999998396
54,0.1313459260000016,0.002574236000000951,0.0013402049999999832
55,0.12709414999999957,0.0028504040000001396,0.0015175589999998351
56,0.1283189129999993,0.0026118240000005954,0.0013376709999999292
57,0.12329995600000032,0.0027376270000001313,0.0015878770000004039
58,0.12241853899999988,0.002968458999999868,0.0016887039999993192
59,0.11912655300000097,0.002687873000001062,0.0013598800000007571
60,0.1323150240000004,0.002938155999999026,0.0014993419999989044
61,0.12985890599999905,0.0029864759999984614,0.0015448790000007762
62,0.12629711499999985,0.002755571999999873,0.0015810270000002902
63,0.12287977499999947,0.002706336999999337,0.0015387950000000927
64,0.12841648199999867,0.00265092699999947,0.0013394569999984896
65,0.1249730109999998,0.002642958999999223,0.0014089349999988343
66,0.13673323499999945,0.0026376869999999997,0.0014135369999994651
67,0.125368421000001,0.0025002430000000686,0.001988754999999287
68,0.13683353100000062,0.002778409999999454,0.001489911000000177
69,0.12408643000000019,0.0024824510000005517,0.001335669999999567
70,0.12797773700000015,0.0025079830000009906,0.0013353880000011031
71,0.19115884400000027,0.002504094000000734,0.0013325149999996455
72,0.1840787870000007,0.0049186049999985215,0.0021668390000009197
73,0.11935715499999944,0.0025215269999989687,0.0013664639999984018
74,0.12280545900000028,0.0025302560000000085,0.0013284339999994899
75,0.12676214700000088,0.002712610999999754,0.001334462000000869
76,0.1182568289999999,0.0025781850000008433,0.0013663250000011118
77,0.11940839100000034,0.002574704000000594,0.0013122140000003668
78,0.11862292799999885,0.002612751999999219,0.0013325609999998989
79,0.12803222099999978,0.0027788059999984682,0.0013898139999994896
80,0.13036328299999944,0.002638345000001152,0.0013975799999990102
81,0.12484837199999888,0.0026148099999989682,0.001393111000000502
82,0.1453454290000007,0.002613509000001457,0.0013849000000014655
83,0.13139818400000003,0.002707894000000266,0.0014731090000008606
84,0.12794117800000038,0.0026098569999994936,0.00143227100000054
85,0.12802453199999952,0.0025749330000000015,0.0013333230000007745
86,0.12854035899999872,0.002763421000000932,0.001473604000000961
87,0.11899105900000073,0.002612272999998666,0.0013406559999999956
88,0.11997552599999928,0.002611008000000581,0.0013277049999995683
89,0.13434874199999847,0.002419564000000207,0.0016927500000001316
90,0.15872798300000035,0.002572754999999205,0.001370040999999489
91,0.14538005900000073,0.0025658079999999472,0.0016473389999998034
92,0.15075666699999957,0.003974561000001486,0.0019169320000003154
93,0.1320584750000009,0.0030231430000000614,0.0017928670000006974
94,0.13898719300000018,0.0026865269999998276,0.0013396370000009483
95,0.1334744410000006,0.0025126709999998553,0.0015523210000001342
96,0.13212660700000178,0.0025120399999991605,0.0013333559999999522
97,0.1300060440000017,0.0026029269999980897,0.0013435780000001785
98,0.12935089500000174,0.003453089000000631,0.0015651659999988965
99,0.13939813900000075,0.002684262999999021,0.001603569000000249
