,RoI,Treco,entries
0,0.0300905704498291,0.8123452663421631,5.0
1,0.04608511924743652,1.617382526397705,10.0
2,0.06894469261169434,2.427112340927124,15.0
3,0.0952920913696289,3.2417640686035156,20.0
4,0.116241455078125,4.049062252044678,25.0
5,0.13802266120910645,4.8561787605285645,30.0
6,0.16088080406188965,5.668834924697876,35.0
7,0.18407893180847168,6.474139451980591,40.0
8,0.20729398727416992,7.284225225448608,45.0
9,0.23030853271484375,8.10460090637207,50.0
10,0.2532038688659668,8.909118413925171,55.0
11,0.27637267112731934,9.71181845664978,60.0
12,0.2981269359588623,10.526148557662964,65.0
13,0.3216884136199951,11.342186212539673,70.0
14,0.34525465965270996,12.153221368789673,75.0
